nohup: ignoring input
device: cuda
Files already downloaded and verified
Files already downloaded and verified
[student_kd] epoch 1/60  train_loss=5.6874  test_acc=0.3571  best=0.3571  (25.4s)
[student_kd] epoch 2/60  train_loss=3.9438  test_acc=0.4539  best=0.4539  (21.4s)
[student_kd] epoch 3/60  train_loss=3.3165  test_acc=0.5134  best=0.5134  (21.6s)
[student_kd] epoch 4/60  train_loss=2.9411  test_acc=0.5351  best=0.5351  (21.6s)
[student_kd] epoch 5/60  train_loss=2.6937  test_acc=0.4936  best=0.5351  (21.5s)
[student_kd] epoch 6/60  train_loss=2.5304  test_acc=0.5644  best=0.5644  (21.4s)
[student_kd] epoch 7/60  train_loss=2.3845  test_acc=0.5674  best=0.5674  (21.7s)
[student_kd] epoch 8/60  train_loss=2.2872  test_acc=0.5750  best=0.5750  (21.5s)
[student_kd] epoch 9/60  train_loss=2.2147  test_acc=0.5932  best=0.5932  (21.5s)
[student_kd] epoch 10/60  train_loss=2.1185  test_acc=0.5965  best=0.5965  (21.5s)
[student_kd] epoch 11/60  train_loss=2.0466  test_acc=0.5546  best=0.5965  (21.4s)
[student_kd] epoch 12/60  train_loss=2.0119  test_acc=0.6038  best=0.6038  (21.6s)
[student_kd] epoch 13/60  train_loss=1.9476  test_acc=0.6420  best=0.6420  (21.5s)
[student_kd] epoch 14/60  train_loss=1.8946  test_acc=0.6188  best=0.6420  (21.4s)
[student_kd] epoch 15/60  train_loss=1.8455  test_acc=0.6431  best=0.6431  (21.4s)
[student_kd] epoch 16/60  train_loss=1.8012  test_acc=0.6263  best=0.6431  (21.6s)
[student_kd] epoch 17/60  train_loss=1.7491  test_acc=0.6188  best=0.6431  (21.6s)
[student_kd] epoch 18/60  train_loss=1.7065  test_acc=0.6020  best=0.6431  (21.4s)
[student_kd] epoch 19/60  train_loss=1.6722  test_acc=0.6478  best=0.6478  (21.5s)
[student_kd] epoch 20/60  train_loss=1.6284  test_acc=0.6482  best=0.6482  (21.3s)
[student_kd] epoch 21/60  train_loss=1.5920  test_acc=0.6247  best=0.6482  (21.4s)
[student_kd] epoch 22/60  train_loss=1.5404  test_acc=0.6437  best=0.6482  (21.5s)
[student_kd] epoch 23/60  train_loss=1.4874  test_acc=0.6662  best=0.6662  (21.3s)
[student_kd] epoch 24/60  train_loss=1.4491  test_acc=0.6594  best=0.6662  (21.5s)
[student_kd] epoch 25/60  train_loss=1.3780  test_acc=0.6639  best=0.6662  (21.6s)
[student_kd] epoch 26/60  train_loss=1.3601  test_acc=0.6491  best=0.6662  (21.3s)
[student_kd] epoch 27/60  train_loss=1.2993  test_acc=0.6502  best=0.6662  (21.7s)
[student_kd] epoch 28/60  train_loss=1.2688  test_acc=0.6767  best=0.6767  (21.4s)
[student_kd] epoch 29/60  train_loss=1.1934  test_acc=0.6697  best=0.6767  (21.5s)
[student_kd] epoch 30/60  train_loss=1.1466  test_acc=0.6754  best=0.6767  (21.5s)
[student_kd] epoch 31/60  train_loss=1.0935  test_acc=0.7009  best=0.7009  (21.5s)
[student_kd] epoch 32/60  train_loss=1.0469  test_acc=0.6935  best=0.7009  (21.5s)
[student_kd] epoch 33/60  train_loss=0.9933  test_acc=0.6780  best=0.7009  (21.4s)
[student_kd] epoch 34/60  train_loss=0.9434  test_acc=0.6989  best=0.7009  (21.4s)
[student_kd] epoch 35/60  train_loss=0.8893  test_acc=0.6901  best=0.7009  (21.7s)
[student_kd] epoch 36/60  train_loss=0.8287  test_acc=0.7155  best=0.7155  (21.5s)
[student_kd] epoch 37/60  train_loss=0.7796  test_acc=0.7204  best=0.7204  (21.4s)
[student_kd] epoch 38/60  train_loss=0.7192  test_acc=0.7237  best=0.7237  (21.5s)
[student_kd] epoch 39/60  train_loss=0.6552  test_acc=0.7338  best=0.7338  (21.4s)
[student_kd] epoch 40/60  train_loss=0.6120  test_acc=0.7310  best=0.7338  (21.6s)
[student_kd] epoch 41/60  train_loss=0.5665  test_acc=0.7388  best=0.7388  (21.5s)
[student_kd] epoch 42/60  train_loss=0.5137  test_acc=0.7513  best=0.7513  (21.4s)
[student_kd] epoch 43/60  train_loss=0.4714  test_acc=0.7535  best=0.7535  (21.6s)
[student_kd] epoch 44/60  train_loss=0.4322  test_acc=0.7644  best=0.7644  (21.7s)
