nohup: ignoring input
/storage/miniconda3/envs/kd_env/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/storage/miniconda3/envs/kd_env/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=ResNet18_Weights.IMAGENET1K_V1`. You can also use `weights=ResNet18_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
/storage/miniconda3/envs/kd_env/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=None`.
  warnings.warn(msg)
/storage/knowledge_distillation/src/train.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  teacher.load_state_dict(torch.load(args.teacher_ckpt, map_location=device))
device: cuda
Files already downloaded and verified
Files already downloaded and verified
[student_kd] epoch 1/60  train_loss=6.2479  test_acc=0.3132  best=0.3132  (95.9s)
[student_kd] epoch 2/60  train_loss=4.1986  test_acc=0.4637  best=0.4637  (92.6s)
[student_kd] epoch 3/60  train_loss=3.4313  test_acc=0.5095  best=0.5095  (91.5s)
[student_kd] epoch 4/60  train_loss=2.9766  test_acc=0.5596  best=0.5596  (93.8s)
[student_kd] epoch 5/60  train_loss=2.7355  test_acc=0.5644  best=0.5644  (91.4s)
[student_kd] epoch 6/60  train_loss=2.5407  test_acc=0.5425  best=0.5644  (93.2s)
[student_kd] epoch 7/60  train_loss=2.3859  test_acc=0.5903  best=0.5903  (90.9s)
[student_kd] epoch 8/60  train_loss=2.2725  test_acc=0.5826  best=0.5903  (56.2s)
[student_kd] epoch 9/60  train_loss=2.1689  test_acc=0.6071  best=0.6071  (44.1s)
[student_kd] epoch 10/60  train_loss=2.1023  test_acc=0.6021  best=0.6071  (43.1s)
[student_kd] epoch 11/60  train_loss=2.0268  test_acc=0.5889  best=0.6071  (43.4s)
[student_kd] epoch 12/60  train_loss=1.9713  test_acc=0.5888  best=0.6071  (43.3s)
[student_kd] epoch 13/60  train_loss=1.9010  test_acc=0.6417  best=0.6417  (43.6s)
[student_kd] epoch 14/60  train_loss=1.8490  test_acc=0.6017  best=0.6417  (43.5s)
[student_kd] epoch 15/60  train_loss=1.7838  test_acc=0.6380  best=0.6417  (43.4s)
[student_kd] epoch 16/60  train_loss=1.7428  test_acc=0.6286  best=0.6417  (42.7s)
[student_kd] epoch 17/60  train_loss=1.7015  test_acc=0.6511  best=0.6511  (43.4s)
[student_kd] epoch 18/60  train_loss=1.6681  test_acc=0.6353  best=0.6511  (44.2s)
[student_kd] epoch 19/60  train_loss=1.6242  test_acc=0.6481  best=0.6511  (42.7s)
[student_kd] epoch 20/60  train_loss=1.5813  test_acc=0.6371  best=0.6511  (43.3s)
[student_kd] epoch 21/60  train_loss=1.5255  test_acc=0.6474  best=0.6511  (43.8s)
[student_kd] epoch 22/60  train_loss=1.4833  test_acc=0.6659  best=0.6659  (42.9s)
[student_kd] epoch 23/60  train_loss=1.4420  test_acc=0.6492  best=0.6659  (43.3s)
[student_kd] epoch 24/60  train_loss=1.3866  test_acc=0.6554  best=0.6659  (43.2s)
[student_kd] epoch 25/60  train_loss=1.3560  test_acc=0.6693  best=0.6693  (43.4s)
[student_kd] epoch 26/60  train_loss=1.3081  test_acc=0.6618  best=0.6693  (43.1s)
[student_kd] epoch 27/60  train_loss=1.2571  test_acc=0.6874  best=0.6874  (43.9s)
[student_kd] epoch 28/60  train_loss=1.2021  test_acc=0.6931  best=0.6931  (43.8s)
[student_kd] epoch 29/60  train_loss=1.1605  test_acc=0.7023  best=0.7023  (43.2s)
[student_kd] epoch 30/60  train_loss=1.1150  test_acc=0.6730  best=0.7023  (43.7s)
[student_kd] epoch 31/60  train_loss=1.0703  test_acc=0.7099  best=0.7099  (43.7s)
[student_kd] epoch 32/60  train_loss=1.0193  test_acc=0.6998  best=0.7099  (43.7s)
[student_kd] epoch 33/60  train_loss=0.9696  test_acc=0.7121  best=0.7121  (43.5s)
[student_kd] epoch 34/60  train_loss=0.9058  test_acc=0.6954  best=0.7121  (42.7s)
[student_kd] epoch 35/60  train_loss=0.8582  test_acc=0.7195  best=0.7195  (43.1s)
[student_kd] epoch 36/60  train_loss=0.7982  test_acc=0.7265  best=0.7265  (43.6s)
[student_kd] epoch 37/60  train_loss=0.7405  test_acc=0.7310  best=0.7310  (42.6s)
[student_kd] epoch 38/60  train_loss=0.6896  test_acc=0.7333  best=0.7333  (43.6s)
[student_kd] epoch 39/60  train_loss=0.6540  test_acc=0.7368  best=0.7368  (43.0s)
[student_kd] epoch 40/60  train_loss=0.6104  test_acc=0.7418  best=0.7418  (43.3s)
[student_kd] epoch 41/60  train_loss=0.5601  test_acc=0.7547  best=0.7547  (43.6s)
[student_kd] epoch 42/60  train_loss=0.5118  test_acc=0.7541  best=0.7547  (43.1s)
[student_kd] epoch 43/60  train_loss=0.4774  test_acc=0.7627  best=0.7627  (43.1s)
[student_kd] epoch 44/60  train_loss=0.4446  test_acc=0.7734  best=0.7734  (43.0s)
