nohup: ignoring input
Downloading: "https://download.pytorch.org/models/resnet18-f37072fd.pth" to /root/.cache/torch/hub/checkpoints/resnet18-f37072fd.pth
device: cuda
Files already downloaded and verified
Files already downloaded and verified
  0%|          | 0.00/44.7M [00:00<?, ?B/s] 27%|██▋       | 11.9M/44.7M [00:00<00:00, 125MB/s] 60%|██████    | 26.8M/44.7M [00:00<00:00, 143MB/s] 92%|█████████▏| 41.2M/44.7M [00:00<00:00, 147MB/s]100%|██████████| 44.7M/44.7M [00:00<00:00, 146MB/s]
[student_plain] epoch 1/60  train_loss=4.0400  test_acc=0.1757  best=0.1757  (45.4s)
[student_plain] epoch 2/60  train_loss=2.7444  test_acc=0.3246  best=0.3246  (41.8s)
[student_plain] epoch 3/60  train_loss=2.1023  test_acc=0.4235  best=0.4235  (41.9s)
[student_plain] epoch 4/60  train_loss=1.8249  test_acc=0.4913  best=0.4913  (41.8s)
[student_plain] epoch 5/60  train_loss=1.6421  test_acc=0.4641  best=0.4913  (41.8s)
[student_plain] epoch 6/60  train_loss=1.5211  test_acc=0.5046  best=0.5046  (41.7s)
[student_plain] epoch 7/60  train_loss=1.4474  test_acc=0.5040  best=0.5046  (42.6s)
[student_plain] epoch 8/60  train_loss=1.3777  test_acc=0.4495  best=0.5046  (42.4s)
[student_plain] epoch 9/60  train_loss=1.3327  test_acc=0.5424  best=0.5424  (43.0s)
[student_plain] epoch 10/60  train_loss=1.2868  test_acc=0.5404  best=0.5424  (42.9s)
[student_plain] epoch 11/60  train_loss=1.2538  test_acc=0.5721  best=0.5721  (42.4s)
[student_plain] epoch 12/60  train_loss=1.2095  test_acc=0.5398  best=0.5721  (42.6s)
[student_plain] epoch 13/60  train_loss=1.1805  test_acc=0.5551  best=0.5721  (41.9s)
[student_plain] epoch 14/60  train_loss=1.1421  test_acc=0.5798  best=0.5798  (41.8s)
[student_plain] epoch 15/60  train_loss=1.1194  test_acc=0.5587  best=0.5798  (41.7s)
[student_plain] epoch 16/60  train_loss=1.0899  test_acc=0.5883  best=0.5883  (42.0s)
[student_plain] epoch 17/60  train_loss=1.0662  test_acc=0.5702  best=0.5883  (41.7s)
[student_plain] epoch 18/60  train_loss=1.0332  test_acc=0.5959  best=0.5959  (41.8s)
[student_plain] epoch 19/60  train_loss=1.0110  test_acc=0.5832  best=0.5959  (42.0s)
[student_plain] epoch 20/60  train_loss=0.9856  test_acc=0.5735  best=0.5959  (41.9s)
[student_plain] epoch 21/60  train_loss=0.9619  test_acc=0.5905  best=0.5959  (41.9s)
[student_plain] epoch 22/60  train_loss=0.9335  test_acc=0.6205  best=0.6205  (41.5s)
[student_plain] epoch 23/60  train_loss=0.9059  test_acc=0.6266  best=0.6266  (41.8s)
[student_plain] epoch 24/60  train_loss=0.8718  test_acc=0.6265  best=0.6266  (42.1s)
[student_plain] epoch 25/60  train_loss=0.8430  test_acc=0.6405  best=0.6405  (42.3s)
[student_plain] epoch 26/60  train_loss=0.8175  test_acc=0.6425  best=0.6425  (43.1s)
[student_plain] epoch 27/60  train_loss=0.7889  test_acc=0.6327  best=0.6425  (43.2s)
[student_plain] epoch 28/60  train_loss=0.7593  test_acc=0.6409  best=0.6425  (42.6s)
[student_plain] epoch 29/60  train_loss=0.7140  test_acc=0.6302  best=0.6425  (42.9s)
[student_plain] epoch 30/60  train_loss=0.6953  test_acc=0.6391  best=0.6425  (41.7s)
