nohup: ignoring input
Downloading: "https://download.pytorch.org/models/resnet34-b627a593.pth" to /root/.cache/torch/hub/checkpoints/resnet34-b627a593.pth
device: cuda
Files already downloaded and verified
Files already downloaded and verified
  0%|          | 0.00/83.3M [00:00<?, ?B/s] 17%|█▋        | 14.1M/83.3M [00:00<00:00, 148MB/s] 42%|████▏     | 34.6M/83.3M [00:00<00:00, 187MB/s] 63%|██████▎   | 52.9M/83.3M [00:00<00:00, 189MB/s] 85%|████████▌ | 70.9M/83.3M [00:00<00:00, 189MB/s]100%|██████████| 83.3M/83.3M [00:00<00:00, 189MB/s]
[teacher] epoch 1/60  train_loss=4.4047  test_acc=0.0836  best=0.0836  (29.2s)
[teacher] epoch 2/60  train_loss=3.6078  test_acc=0.1943  best=0.1943  (23.8s)
[teacher] epoch 3/60  train_loss=3.1051  test_acc=0.2501  best=0.2501  (24.6s)
[teacher] epoch 4/60  train_loss=2.7344  test_acc=0.3245  best=0.3245  (42.3s)
[teacher] epoch 5/60  train_loss=2.3807  test_acc=0.3629  best=0.3629  (44.7s)
[teacher] epoch 6/60  train_loss=2.1086  test_acc=0.4227  best=0.4227  (44.8s)
[teacher] epoch 7/60  train_loss=1.9171  test_acc=0.4118  best=0.4227  (44.7s)
[teacher] epoch 8/60  train_loss=1.7713  test_acc=0.4779  best=0.4779  (44.8s)
[teacher] epoch 9/60  train_loss=1.6521  test_acc=0.4890  best=0.4890  (44.7s)
[teacher] epoch 10/60  train_loss=1.5655  test_acc=0.5001  best=0.5001  (44.6s)
[teacher] epoch 11/60  train_loss=1.4935  test_acc=0.5182  best=0.5182  (44.0s)
[teacher] epoch 12/60  train_loss=1.4359  test_acc=0.4972  best=0.5182  (44.8s)
[teacher] epoch 13/60  train_loss=1.3850  test_acc=0.5379  best=0.5379  (44.7s)
[teacher] epoch 14/60  train_loss=1.3330  test_acc=0.5154  best=0.5379  (44.7s)
[teacher] epoch 15/60  train_loss=1.2939  test_acc=0.5174  best=0.5379  (44.6s)
[teacher] epoch 16/60  train_loss=1.2445  test_acc=0.5757  best=0.5757  (44.8s)
[teacher] epoch 17/60  train_loss=1.2161  test_acc=0.5427  best=0.5757  (44.6s)
[teacher] epoch 18/60  train_loss=1.1775  test_acc=0.5243  best=0.5757  (44.7s)
[teacher] epoch 19/60  train_loss=1.1346  test_acc=0.5666  best=0.5757  (44.8s)
[teacher] epoch 20/60  train_loss=1.1098  test_acc=0.5397  best=0.5757  (44.7s)
[teacher] epoch 21/60  train_loss=1.0655  test_acc=0.5805  best=0.5805  (44.7s)
[teacher] epoch 22/60  train_loss=1.0351  test_acc=0.5435  best=0.5805  (44.8s)
[teacher] epoch 23/60  train_loss=1.0090  test_acc=0.5976  best=0.5976  (44.5s)
[teacher] epoch 24/60  train_loss=0.9749  test_acc=0.5792  best=0.5976  (44.9s)
[teacher] epoch 25/60  train_loss=0.9413  test_acc=0.5936  best=0.5976  (44.9s)
[teacher] epoch 26/60  train_loss=0.9111  test_acc=0.6003  best=0.6003  (44.8s)
[teacher] epoch 27/60  train_loss=0.8706  test_acc=0.6249  best=0.6249  (44.1s)
[teacher] epoch 28/60  train_loss=0.8448  test_acc=0.5977  best=0.6249  (45.0s)
[teacher] epoch 29/60  train_loss=0.8096  test_acc=0.6176  best=0.6249  (44.7s)
[teacher] epoch 30/60  train_loss=0.7816  test_acc=0.6401  best=0.6401  (44.4s)
[teacher] epoch 31/60  train_loss=0.7316  test_acc=0.6433  best=0.6433  (45.0s)
[teacher] epoch 32/60  train_loss=0.7078  test_acc=0.6369  best=0.6433  (44.6s)
[teacher] epoch 33/60  train_loss=0.6534  test_acc=0.6346  best=0.6433  (44.7s)
[teacher] epoch 34/60  train_loss=0.6267  test_acc=0.6358  best=0.6433  (44.8s)
[teacher] epoch 35/60  train_loss=0.5803  test_acc=0.6419  best=0.6433  (44.8s)
[teacher] epoch 36/60  train_loss=0.5479  test_acc=0.6467  best=0.6467  (44.6s)
[teacher] epoch 37/60  train_loss=0.4904  test_acc=0.6660  best=0.6660  (44.9s)
[teacher] epoch 38/60  train_loss=0.4629  test_acc=0.6570  best=0.6660  (44.6s)
[teacher] epoch 39/60  train_loss=0.4075  test_acc=0.6661  best=0.6661  (44.7s)
[teacher] epoch 40/60  train_loss=0.3703  test_acc=0.6691  best=0.6691  (44.6s)
[teacher] epoch 41/60  train_loss=0.3277  test_acc=0.6840  best=0.6840  (44.7s)
[teacher] epoch 42/60  train_loss=0.2799  test_acc=0.6801  best=0.6840  (44.9s)
[teacher] epoch 43/60  train_loss=0.2309  test_acc=0.6928  best=0.6928  (43.8s)
[teacher] epoch 44/60  train_loss=0.1993  test_acc=0.6972  best=0.6972  (45.1s)
[teacher] epoch 45/60  train_loss=0.1565  test_acc=0.7074  best=0.7074  (44.6s)
[teacher] epoch 46/60  train_loss=0.1195  test_acc=0.7231  best=0.7231  (44.7s)
[teacher] epoch 47/60  train_loss=0.0934  test_acc=0.7243  best=0.7243  (44.7s)
[teacher] epoch 48/60  train_loss=0.0696  test_acc=0.7317  best=0.7317  (45.0s)
[teacher] epoch 49/60  train_loss=0.0529  test_acc=0.7371  best=0.7371  (44.8s)
[teacher] epoch 50/60  train_loss=0.0389  test_acc=0.7444  best=0.7444  (44.8s)
[teacher] epoch 51/60  train_loss=0.0320  test_acc=0.7437  best=0.7444  (44.8s)
[teacher] epoch 52/60  train_loss=0.0245  test_acc=0.7477  best=0.7477  (44.7s)
[teacher] epoch 53/60  train_loss=0.0209  test_acc=0.7483  best=0.7483  (44.7s)
[teacher] epoch 54/60  train_loss=0.0182  test_acc=0.7500  best=0.7500  (44.9s)
[teacher] epoch 55/60  train_loss=0.0165  test_acc=0.7504  best=0.7504  (44.9s)
[teacher] epoch 56/60  train_loss=0.0149  test_acc=0.7527  best=0.7527  (44.9s)
[teacher] epoch 57/60  train_loss=0.0137  test_acc=0.7511  best=0.7527  (44.9s)
[teacher] epoch 58/60  train_loss=0.0132  test_acc=0.7538  best=0.7538  (45.0s)
[teacher] epoch 59/60  train_loss=0.0131  test_acc=0.7543  best=0.7543  (44.0s)
[teacher] epoch 60/60  train_loss=0.0134  test_acc=0.7537  best=0.7543  (44.8s)
saved final checkpoint to ckpts/teacher.pt (final test_acc=0.7537, best=0.7543)
