/storage/miniconda3/envs/kd_env/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/storage/miniconda3/envs/kd_env/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=ResNet50_Weights.IMAGENET1K_V1`. You can also use `weights=ResNet50_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
device: cuda
Files already downloaded and verified
Files already downloaded and verified
[teacher] epoch 1/60  train_loss=2.8696  test_acc=0.4400  best=0.4400  (179.5s)
[teacher] epoch 2/60  train_loss=1.6856  test_acc=0.4493  best=0.4493  (173.5s)
[teacher] epoch 3/60  train_loss=1.4511  test_acc=0.5480  best=0.5480  (173.9s)
[teacher] epoch 4/60  train_loss=1.3314  test_acc=0.5659  best=0.5659  (174.2s)
[teacher] epoch 5/60  train_loss=1.2703  test_acc=0.5280  best=0.5659  (174.3s)
[teacher] epoch 6/60  train_loss=1.2123  test_acc=0.5482  best=0.5659  (174.3s)
[teacher] epoch 7/60  train_loss=1.1837  test_acc=0.5837  best=0.5837  (174.0s)
[teacher] epoch 8/60  train_loss=1.1471  test_acc=0.5720  best=0.5837  (174.0s)
[teacher] epoch 9/60  train_loss=1.1244  test_acc=0.5699  best=0.5837  (174.0s)
[teacher] epoch 10/60  train_loss=1.1019  test_acc=0.5917  best=0.5917  (173.0s)
[teacher] epoch 11/60  train_loss=1.0708  test_acc=0.5906  best=0.5917  (173.7s)
[teacher] epoch 12/60  train_loss=1.0598  test_acc=0.5985  best=0.5985  (173.2s)
[teacher] epoch 13/60  train_loss=1.0365  test_acc=0.5313  best=0.5985  (173.1s)
[teacher] epoch 14/60  train_loss=1.0170  test_acc=0.5746  best=0.5985  (174.2s)
[teacher] epoch 15/60  train_loss=0.9949  test_acc=0.5821  best=0.5985  (174.6s)
[teacher] epoch 16/60  train_loss=0.9838  test_acc=0.6116  best=0.6116  (173.6s)
